type,cycle,value
F01,8,1.257886632
F01,8,1.25731926
F01,8,1.255516815
F01,8,1.256220245
F01,8,1.255951182
F01,9,1.211303202
F01,9,1.209540939
F01,9,1.208407847
F01,9,1.207588577
F01,9,1.206600698
F01,9,1.201904551
F01,9,1.200126775
F01,9,1.199545542
F01,9,1.199386342
F01,9,1.198463567
F01,9,1.199335353
F01,9,1.201824188
F01,9,1.203826014
F01,9,1.205898921
F01,9,1.207851283
F01,9,1.208992132
F01,9,1.210425059
F01,9,1.210888799
F01,9,1.211119207
F01,9,1.211349487
F01,9,1.212232208
F01,9,1.214863205
F01,9,1.217242177
F01,9,1.219449615
F01,9,1.220486832
F01,9,1.222675832
F01,9,1.22680308
F01,9,1.231258265
F01,9,1.232521184
F01,9,1.232318624
F01,9,1.230794525
F01,9,1.230458959
F01,9,1.229874674
F01,9,1.231847127
F01,9,1.239460373
F01,9,1.244238536
F01,9,1.245356115
F01,9,1.237526576
F01,9,1.223677444
F01,9,1.216466141
F01,9,1.209304428
F01,9,1.201487096
F01,9,1.20888087
F01,9,1.23618482
F01,9,1.24757754
F01,9,1.242009481
F01,9,1.235968399
F01,9,1.239941152
F01,9,1.242620087
F01,9,1.245597331
F01,9,1.247501755
F01,9,1.250270335
F01,9,1.253570684
F01,9,1.255451965
F01,9,1.254362106
F01,9,1.252406693
F01,9,1.251823934
F01,9,1.251112747
F01,9,1.250097148
F01,9,1.247538884
F01,9,1.243091456
F01,9,1.238747787
F01,9,1.234900157
F01,9,1.233093135
F01,9,1.231828562
F01,9,1.230740356
F01,9,1.231513214
F01,9,1.231759008
F01,9,1.231984711
F01,9,1.231098938
F01,9,1.229155858
F01,9,1.228259277
F01,9,1.227305476
F01,9,1.228004201
F01,9,1.228784943
F01,9,1.228755569
F01,9,1.229533005
F01,9,1.229812876
F01,9,1.230921173
F01,9,1.233388392
F01,9,1.234580231
F01,9,1.235161463
F01,9,1.235623678
F01,9,1.234288025
F01,9,1.233209101
F01,9,1.231653976
F01,9,1.229584122
F01,9,1.229832967
F01,9,1.229362996
F01,9,1.228461838
F01,9,1.226087443
F01,9,1.223298772
F01,9,1.223478063
F01,9,1.225373205
F01,9,1.226662445
F01,9,1.228243891
F01,9,1.229383087
F01,9,1.229148102
F01,9,1.228659693
F01,9,1.228617986
F01,9,1.229333623
F01,9,1.229893239
F01,9,1.229387792
F01,9,1.228805033
F01,9,1.227877426
F01,9,1.227574539
F01,9,1.228148015
F01,9,1.228253174
F01,9,1.228236135
F01,9,1.228656642
F01,9,1.227909978
F01,9,1.225980759
F01,9,1.225357819
F01,9,1.224982198
F01,9,1.225189336
F01,9,1.224784342
F01,9,1.224928029
F01,9,1.225799942
F01,9,1.226501719
F01,9,1.227424622
F01,9,1.227041245
F01,9,1.227670288
F01,9,1.227566783
F01,10,1.243870544
F01,10,1.240636698
F01,10,1.239228439
F01,10,1.2372715
F01,10,1.234431839
F01,10,1.232561366
F01,10,1.229933421
F01,10,1.226665624
F01,10,1.221864192
