type,cycle,v1,v2,v7,v16,v17,v18,v21,v22,v23,v24,v25,v46,v47,v52,v53,v99
F01,37,2.308569082,2.315596517,2.325312042,2.338140869,2.339433034,2.342119853,2.333201853,2.328490194,2.329275513,2.326632182,2.327191671,2.317701976,2.324353536,2.323783112,2.327298482,2.322055054
F01,38,2.302701314,2.308892314,2.320009867,2.335607147,2.335597992,2.336169942,2.339320374,2.340824382,2.345342763,2.347503916,2.347910309,2.318736013,2.319753265,2.311646779,2.309396108,2.314628855
F01,39,2.340431722,2.340904744,2.326159159,2.33712972,2.342309825,2.347426605,2.356295013,2.35426534,2.357635244,2.353436788,2.351136525,2.344855754,2.348051198,2.352095032,2.354906718,2.351682281
F01,40,2.376483409,2.373303731,2.355029043,2.359310913,2.356812795,2.362501526,2.349453227,2.343102773,2.341740926,2.328694153,2.321994527,2.324409231,2.329853566,2.307950846,2.315093994,2.28162384
F01,41,2.365927124,2.362226359,2.356296539,2.371547699,2.372887929,2.377471161,2.369729869,2.370688121,2.371853638,2.367392476,2.365257772,2.346186829,2.364481608,2.356939697,2.352518463,2.285397339
F01,42,1.287694804,1.2843249,1.275767136,1.267772166,1.262245814,1.260157394,1.257600657,1.258307012,1.25739034,1.257395045,1.257770665,1.261262639,1.261401876,1.261874898,1.263074366,1.267262014
F01,43,1.253310903,1.26487999,1.28839035,1.266554006,1.263620122,1.269373703,1.288775253,1.293344752,1.295239894,1.297787476,1.300268555,1.261024602,1.267705663,1.287824631,1.291706212,1.271795909
F01,44,1.254870733,1.24035848,1.243861389,1.235031509,1.238024267,1.239277903,1.233474986,1.234368388,1.238195928,1.238761648,1.238743083,1.279073715,1.280441793,1.280135727,1.279197311,1.262077332
F01,45,1.281574885,1.278906759,1.248297882,1.230548731,1.231295268,1.233386866,1.227794011,1.226493963,1.215364075,1.201287715,1.192297236,1.179202525,1.183529282,1.202331161,1.202020518,1.205282211
F01,46,1.260604223,1.261020025,1.263702011,1.267863337,1.268059667,1.271540833,1.269129435,1.266942088,1.265144221,1.263055801,1.263400523,1.251411184,1.251299795,1.248263804,1.24766566,1.220904287
F01,47,1.225227992,1.226331711,1.228138733,1.257820129,1.258602269,1.258889898,1.249013519,1.246987025,1.247101339,1.247146225,1.252262878,1.264980443,1.263961665,1.263095983,1.263134638,1.234535344
F01,48,1.226144663,1.223199844,1.234031423,1.258633296,1.259800339,1.269791031,1.277538681,1.273947779,1.270922597,1.271833038,1.271103414,1.257493973,1.253139369,1.241588974,1.238056691,1.222215144
F01,49,1.244096247,1.246023941,1.253185781,1.255311203,1.26034139,1.262207158,1.266668447,1.266674678,1.265189107,1.267725754,1.263855108,1.263722102,1.259661229,1.26269722,1.264972687,1.2535923
F01,50,1.289925385,1.289937719,1.283973948,1.295426941,1.294318644,1.29349467,1.277398046,1.274651082,1.272758993,1.274674225,1.281274923,1.287738037,1.284902954,1.294405238,1.29748141,1.27759285
F01,51,1.276516851,1.275267919,1.280613327,1.290064494,1.290704473,1.289381282,1.282616679,1.279671987,1.277169291,1.274971135,1.278929901,1.19055659,1.239381536,1.364679972,1.377467092,1.279787827
F01,52,1.292210134,1.29395078,1.3100722,1.299923833,1.296241633,1.293143845,1.277421188,1.259872945,1.252672577,1.249315008,1.253683472,1.235223262,1.238263957,1.237500254,1.235940552,1.262771479
F01,53,1.260547002,1.258999634,1.287115097,1.30108312,1.300718307,1.303132884,1.282298279,1.274501165,1.263426844,1.273972448,1.276244863,1.269047419,1.269616318,1.276856995,1.276074855,1.268520355
F01,54,1.271194585,1.267884954,1.257158534,1.282819239,1.283992513,1.288968531,1.291729355,1.294011052,1.297801336,1.300766246,1.299642436,1.300078328,1.299157079,1.292714055,1.291866938,1.27323672
F01,55,1.278506343,1.280560811,1.232944743,1.198676809,1.19757932,1.194254176,1.17934316,1.179034042,1.18330663,1.190208817,1.196531169,1.228022766,1.230514654,1.230421956,1.230486806,1.259447861
F01,56,1.317346827,1.322908656,1.323213196,1.293041738,1.283080546,1.278245163,1.267718124,1.268554306,1.266135152,1.265776443,1.260217667,1.28189799,1.284008026,1.27821579,1.276291275,1.283893585
F01,57,1.288064194,1.285983531,1.294470088,1.304029465,1.304661814,1.306185913,1.308385595,1.310262299,1.311511358,1.308756638,1.308365504,1.298223368,1.278212738,1.294596863,1.290736898,1.293496323
F01,58,1.277676264,1.280022812,1.28460935,1.274716059,1.275794983,1.278214264,1.281273397,1.281342951,1.280460358,1.278959274,1.278795497,1.278115336,1.27883873,1.287966792,1.28037529,1.286056137
F01,59,1.275138092,1.2769605,1.282681656,1.280914815,1.281284205,1.280062993,1.277572759,1.275861486,1.274465561,1.273933792,1.27238795,1.266612752,1.26572698,1.252582932,1.253691228,1.279834239
F01,60,1.287161509,1.283986282,1.292687734,1.294236755,1.295374425,1.295873769,1.300059891,1.301081594,1.300885264,1.300237656,1.299855804,1.292046229,1.291944249,1.297911199,1.298381042,1.291373825
F01,61,1.288257472,1.291333644,1.298183187,1.288696416,1.286363856,1.288099798,1.287857056,1.287932841,1.287883377,1.29142952,1.292078781,1.298438263,1.300590007,1.306419373,1.307356135,1.299308523
F01,62,1.297391764,1.299381256,1.288439814,1.290753937,1.290543747,1.288702647,1.286458079,1.285164261,1.283465449,1.283488592,1.283292262,1.293992488,1.293217977,1.293938319,1.297353109,1.298014704
F01,63,1.064948972,1.065360133,1.065992419,1.065700213,1.066258303,1.066392771,1.062838936,1.060569636,1.059666888,1.059150569,1.05965449,1.060146077,1.059147453,1.053288778,1.051824888,1.05977815
F01,64,1.066811625,1.067756144,1.072807948,1.081057994,1.078376007,1.077272288,1.078470357,1.077232107,1.078127162,1.078082275,1.077378972,1.07440478,1.073225276,1.068776449,1.068507512,1.052899234
F01,65,1.032226944,1.031395276,1.031058248,1.041812579,1.042945671,1.045589066,1.047779465,1.049201647,1.050068855,1.049744225,1.052698263,1.035525703,1.034868749,1.032922554,1.033921115,1.04789079
F01,66,1.109714508,1.108123906,1.100722504,1.091296005,1.080237198,1.071044159,1.054095713,1.048162842,1.042917824,1.044616699,1.046474775,1.076907476,1.078343582,1.085281245,1.086018626,1.060048676
F01,67,1.059028435,1.061195691,1.068298721,1.068036016,1.066558139,1.065737343,1.063587062,1.061662547,1.061865044,1.063290278,1.063669014,1.06153272,1.059536997,1.059373156,1.060606766,1.064359983
