serial,type,cycle,value
SN 001,F01,1,1.2634918212866666
SN 001,F01,1,1.2606830596899998
SN 001,F01,1,1.2577011108366667
SN 001,F01,1,1.2555353800433333
SN 001,F01,1,1.2553746541333333
SN 001,F01,1,1.2564721425366665
SN 001,F01,1,1.2569220225
SN 001,F01,1,1.2567334493
SN 001,F01,1,1.2546156565333333
SN 001,F01,1,1.2537715911833334
SN 001,F01,1,1.2536015828433333
SN 001,F01,1,1.25345319112
SN 001,F01,1,1.25318578084
SN 001,F01,1,1.2539525349933334
SN 001,F01,1,1.25588785807
SN 001,F01,1,1.2567071278866666
SN 001,F01,1,1.2563299814833333
SN 001,F01,1,1.2561969757066669
SN 001,F01,1,1.2553483327200001
SN 001,F01,1,1.2537484486866668
SN 001,F01,1,1.2537901560433333
SN 001,F01,1,1.25320587158
SN 001,F01,1,1.2525829315166668
SN 001,F01,1,1.25194447835
SN 001,F01,1,1.25217323303
SN 001,F01,1,1.25291366577
SN 001,F01,1,1.2537143707266667
SN 001,F01,1,1.2550871531166665
SN 001,F01,1,1.2568401336666668
SN 001,F01,1,1.2578804016099998
SN 001,F01,1,1.2592748006166665
SN 001,F01,1,1.2595251719133331
SN 001,F01,1,1.2608407338433334
SN 001,F01,1,1.2616924285866666
SN 001,F01,1,1.2626307169566668
SN 001,F01,1,1.2638257344533335
SN 001,F01,1,1.2637530008933333
SN 001,F01,1,1.26280848185
SN 001,F01,1,1.2621330261200001
SN 001,F01,1,1.2607170104966667
SN 001,F01,1,1.2597478230766666
SN 001,F01,1,1.25988845825
SN 001,F01,1,1.2596936543766666
SN 001,F01,1,1.2605206807433333
SN 001,F01,1,1.2614095052066667
SN 001,F01,1,1.2632119496633334
SN 001,F01,1,1.2647856394433332
SN 001,F01,1,1.2657115936266665
SN 001,F01,1,1.2693813323966665
SN 001,F01,1,1.2707664489733332
SN 001,F01,1,1.2713167826333334
SN 001,F01,1,1.2708792368566668
SN 001,F01,1,1.2702995300266666
SN 001,F01,1,1.2686054229733335
SN 001,F01,1,1.2618423461900001
SN 001,F01,1,1.25465888977
SN 001,F01,1,1.25351041158
SN 001,F01,1,1.25617230733
SN 001,F01,1,1.25786031087
SN 001,F01,1,1.2657517751033334
SN 001,F01,1,1.2744795481333333
SN 001,F01,1,1.2824265797899999
SN 001,F01,1,1.28326136271
SN 001,F01,1,1.2776654561333334
SN 001,F01,1,1.2711513519266666
SN 001,F01,1,1.2637065887433332
SN 001,F01,1,1.2681493123366667
SN 001,F01,1,1.26570854187
SN 001,F01,1,1.2557951609266667
SN 001,F01,1,1.2568632761633334
SN 001,F01,1,1.2571183522533333
SN 001,F01,1,1.2592964172333334
SN 001,F01,1,1.2606010437
SN 001,F01,1,1.2607371012366668
SN 001,F01,1,1.2606135050433334
SN 001,F01,1,1.2576686859100001
SN 001,F01,1,1.2548722585033334
SN 001,F01,1,1.2530033111566667
SN 001,F01,1,1.2531532287566667
SN 001,F01,1,1.2528039296466666
SN 001,F01,1,1.25165379842
SN 001,F01,1,1.2513198852533334
SN 001,F01,1,1.2517697652166668
SN 001,F01,1,1.2522814432766665
SN 001,F01,1,1.25443013509
SN 001,F01,1,1.25750020345
SN 001,F01,1,1.25993639628
SN 001,F01,1,1.2619969685866665
SN 001,F01,1,1.26236330668
SN 001,F01,1,1.2642987569166666
SN 001,F01,1,1.2666839599600002
SN 001,F01,1,1.26760368347
SN 001,F01,1,1.26750933329
SN 001,F01,1,1.2681447347
SN 001,F01,1,1.26812464396
SN 001,F01,1,1.2671012878399999
SN 001,F01,1,1.26511332194
SN 001,F01,1,1.26366958618
SN 001,F01,1,1.2615626017233335
SN 001,F01,1,1.2591356913233334
SN 001,F01,1,1.2579330444333332
SN 001,F01,1,1.2551366170233333
SN 001,F01,1,1.2553452809633332
SN 001,F01,1,1.2558986663799998
SN 001,F01,1,1.25726369222
SN 001,F01,1,1.2572002410866667
SN 001,F01,1,1.2568030039466669
SN 001,F01,1,1.2572497049966667
SN 001,F01,1,1.2577660878466665
SN 001,F01,1,1.2586687723766665
SN 001,F01,1,1.25936749776
SN 001,F01,1,1.2611714680966666
SN 001,F01,1,1.26193364461
SN 001,F01,1,1.2618114471433333
SN 001,F01,1,1.2609102884899999
SN 001,F01,1,1.2594571431466666
SN 001,F01,1,1.25861930847
SN 001,F01,1,1.2575527191133333
SN 001,F01,1,1.2572265625
SN 001,F01,1,1.2588063557933333
SN 001,F01,1,1.2618918100966667
SN 001,F01,1,1.2643095652233332
SN 001,F01,1,1.2667256673166667
SN 001,F01,1,1.26813545227
SN 001,F01,1,1.2706860860166667
SN 001,F01,1,1.2728084564200002
SN 001,F01,1,1.2734978993733332
SN 001,F01,1,1.2728207906066666
SN 001,F01,1,1.2709442138666667
SN 001,F01,1,1.2681214650466666
SN 001,F01,1,1.26555849711
SN 001,F01,1,1.2622535705533333
SN 001,F01,1,1.2589655558266666
SN 001,F01,1,1.2575682322166666
SN 001,F01,1,1.2556467692033333
SN 001,F01,1,1.2553452809633332
SN 001,F01,1,1.2543590545633334
SN 001,F01,1,1.2552107493066667
SN 001,F01,1,1.2573919932033335
SN 001,F01,1,1.2590892791733335
SN 001,F01,1,1.2594478607166666
SN 001,F01,1,1.2584523518866668
SN 001,F01,1,1.2578309377033332
SN 001,F01,1,1.2564535776766665
SN 001,F01,1,1.25548909505
SN 001,F01,1,1.2550716400133333
SN 001,F01,1,1.2547098795566667
SN 001,F01,1,1.2555817921933332
SN 001,F01,1,1.2560485839833333
SN 001,F01,1,1.2560131072966667
SN 001,F01,1,1.2565773010233334
SN 001,F01,1,1.25643043518
SN 001,F01,1,1.2560084025033333
SN 001,F01,1,1.25620015462
