serial,type,cycle,value_min,value_median,value_std_overall,rolling_mean_last15,rolling_std_last15,rolling_slope_last15,delta_from_roll_mean,diff1_mean,diff1_max,diff1_min,diff1_std,diff2_mean,diff2_max,diff2_min,diff2_std,num_peaks,mean_peak_prominence,mean_peak_width,zero_crossing_rate,lag1_autocorr,std_roll_mean15_series,range_roll_mean15_series,std_roll_std15_series,severity_score,severity_weighted_delta,severity_weighted_std,risk_weighted_trend
SN 006,F01,114,1.4532156626366666,1.477710787455,0.009058731435358127,1.4866379547106665,0.0019667863284327665,-0.0003939110891547581,-0.0034687805173332364,-1.0973297190086112e-05,0.014285024006666758,-0.01462046305333331,0.0036919577180809923,7.523430722228275e-06,0.015343856813333723,-0.01819432576333324,0.004056328853647693,12.0,0.007798046535277788,3.2891485853112514,12.0,0.9173248320798626,0.0074713595674267405,0.02534567091133333,0.0034120933704189747,1,-0.006937561034666473,0.0029501794926491496,-0.0007878221783095162
SN 004,F01,77,1.0431512832633334,1.09311313629,0.011799229103234363,1.0712052239297778,0.01408672600835961,-0.0027054666337380847,-0.0280539406664444,-0.0004958270995041332,0.0028303782166663183,-0.00984071095666672,0.001873088389292949,-3.956000008333109e-05,0.005718040466667018,-0.0037408828733336286,0.0019540299473410814,3.0,0.009454218546666763,14.26517594432425,1.0,0.9884866865866799,0.008903155982346417,0.03154641045444451,0.0019062801276344126,1,-0.0561078813328888,0.021130089012539415,-0.005410933267476169
SN 044,N01,242,2.5924725666666664,2.5967284999999998,0.0014401975670194442,2.596194593333333,0.001382947496690391,5.492238095236182e-05,-0.0005591266666664652,-3.951239669425462e-06,0.004195666666666931,-0.0044446333333332255,0.0019725544143836937,-1.0806111111109443e-05,0.006579600000001129,-0.007219966666666799,0.0032915279260595635,36.0,0.0026063212962963433,1.663349525152881,64.0,0.06707660662338819,0.0004873611801533292,0.0018786422222216714,0.00017422765238329547,0,-0.0005591266666664652,0.001382947496690391,5.492238095236182e-05
SN 015,F02,154,2.9404162089,2.9509920756000003,0.0035588746277145657,2.9504822794580003,0.002415197412428324,4.673004083361702e-06,-0.0023786926280000564,-3.868502363636166e-05,0.010438791909999967,-0.016628519696666455,0.004214834637847779,1.1719597777792856e-06,0.02371927897666648,-0.016611480716666183,0.006736539221168056,29.0,0.006038762234597764,2.2234988753851717,45.0,0.3018513927072994,0.0006686248117223702,0.0032393052840000713,0.001016994131476781,2,-0.007136077884000169,0.004830394824856648,1.4019012250085107e-05
SN 045,N02,24,3.347084033333333,3.3840871,0.01195304446538375,3.3817325955555555,0.012531743108114307,-3.4440595238100734e-05,-0.006250695555555463,0.00010704049586776873,0.0415867999999997,-0.045119233333333675,0.015484810336831755,-0.0003430577777777777,0.0710843333333342,-0.06647746666666743,0.023065230088513595,29.0,0.02299389080459767,2.2532701116432734,50.0,0.15495211271239684,0.0024063369537841417,0.01094962444444425,0.0030945320157960165,0,-0.006250695555555463,0.012531743108114307,-3.4440595238100734e-05
SN 046,N01,346,2.917040233333333,2.9204498166666664,0.0014642619426253793,2.9200355,0.0008539363910730226,-8.649011904761082e-05,-0.0003219333333333019,8.289256198345992e-06,0.006267533333333297,-0.004250599999999771,0.0017261445854220385,-2.9138055555555376e-05,0.006937666666666953,-0.009157033333333509,0.002720190303289876,35.0,0.0022988685714286027,2.4348531723527347,42.0,0.3051841242480564,0.0007060451838159578,0.0024070244444445166,0.0002605256131739134,0,-0.0003219333333333019,0.0008539363910730226,-8.649011904761082e-05
SN 003,F01,59,1.2833695729566663,1.294950103758333,0.004761008918599211,1.2989135657397777,0.0017838401492035244,0.00034023421151190675,0.0012560611302223634,0.0001337466489531674,0.0029029846200003817,-0.0025150299066669657,0.0011208758326178604,-9.60985819444075e-06,0.0032076517733334864,-0.0025658925333333915,0.00135012997184845,10.0,0.004079564411666725,7.402182114211891,7.0,0.9718689054951294,0.003916322873771345,0.01340756734222226,0.0006678379682455666,1,0.002512122260444727,0.0026757602238052865,0.0006804684230238135
SN 013,F02,110,2.46622950236,2.4738465627016666,0.0024781955917127035,2.4738228861473335,0.0020523618414976215,-8.03856623571456e-05,-0.0022680664073333467,-1.673632746556176e-05,0.009251912436666565,-0.010296885173333159,0.0033145007789454808,-2.280129325000028e-05,0.014376322429999533,-0.012791951499999676,0.005300008113409888,30.0,0.00475717332644446,2.152719325590112,58.0,0.11038903151572273,0.0003909445853211296,0.0015377807619993966,0.0006499124542478592,2,-0.00680419922200004,0.004104723682995243,-0.0002411569870714368
SN 020,F02,254,2.82854792277,2.8353449503566663,0.002595209287626548,2.8355335659437775,0.0041974149761876065,-3.5507565476192554e-05,0.002235243056222913,2.185832044077441e-05,0.011258188883333187,-0.011253611246667017,0.0036564688385452826,-1.7248789472220268e-05,0.013604736330000922,-0.021080525713333742,0.0058965766957433455,28.0,0.005034165155119119,2.524092903269175,51.0,0.011728958462436897,0.0005363507302184353,0.0027037726513334803,0.0009908197800704273,2,0.006705729168668739,0.008394829952375213,-0.00010652269642857766
SN 026,F03,94,2.856456247963333,2.8686545054100003,0.0048659288392570305,2.8696968078597775,0.0029452023028425627,0.0004267728897023775,0.006618754070222277,0.00014247211214875815,0.004309844969999865,-0.003975677493333496,0.0013254820733883518,1.1774698916666715e-05,0.005115254716666406,-0.00432052612333278,0.0018791600162918643,14.0,0.0027563185921428385,3.726190233355269,11.0,0.9622198720514606,0.004203879554893777,0.01381732516800005,0.0009174558564658108,3,0.026475016280889108,0.007363005757106407,0.00170709155880951
SN 045,F06,5,0.5362712666666667,0.6403943166666667,0.023477326291346273,0.64053102,0.01941770156670482,3.944916666666869e-05,0.005391513333333431,5.545151515151578e-05,0.1596230333333334,-0.09214023333333332,0.02719743172303291,0.00012497472222222267,0.24105353333333335,-0.1279625666666665,0.03897201951738474,17.0,0.047883299999999976,2.4739577105437447,41.0,0.33441266320092916,0.003650257417906079,0.018512871111111107,0.013177977999424328,3,0.021566053333333723,0.04854425391676205,0.00015779666666667475
SN 049,N01,389,1.9255692666666664,1.9302203333333332,0.001598961053516037,1.9316104466666666,0.0005398591866393319,2.737940476189978e-05,0.0006846199999999136,2.3212672176308372e-05,0.004157366666666995,-0.0035340666666667797,0.0012441325361490926,1.6760277777773855e-05,0.003855766666667204,-0.0059566333333338495,0.0017059848330765435,26.0,0.002008337179487187,2.1280445872029046,27.0,0.6968824184497023,0.001177783056531709,0.0033326755555560528,0.0004039797235910686,0,0.0006846199999999136,0.0005398591866393319,2.737940476189978e-05
